(25, 19)
(14, 4)
(29, 6)
(22, 10)
(29, 8)
(22, 23)
(18, 6)
(5, 14)
(2, 20)
(23, 9)
(5, 12)
(3, 14)
(22, 9)
(10, 6)
(9, 26)
(4, 19)
(13, 16)
(23, 13)
(23, 20)
(21, 8)
(9, 25)
(11, 28)
(22, 21)
(12, 27)
(7, 16)
(3, 15)
(7, 23)
(18, 8)
(21, 28)
(30, 9)
(28, 21)
(24, 8)
(12, 26)
(9, 11)
(28, 23)
(25, 13)
(19, 23)
(16, 8)
(17, 16)
(19, 24)
(18, 7)
(26, 16)
(9, 25)
(5, 27)
(2, 28)
(7, 29)
(15, 2)
(6, 5)
(21, 12)
(6, 18)
(9, 28)
(23, 12)
(24, 29)
(19, 26)
(15, 29)
(26, 3)
(1, 25)
(2, 9)
(21, 26)
(9, 6)
(9, 30)
(29, 11)
(17, 16)
(26, 29)
(22, 26)
(22, 1)
