(22, 28)
(10, 4)
(5, 21)
(15, 11)
(18, 16)
(12, 14)
(27, 5)
(18, 5)
(21, 28)
(12, 9)
(24, 8)
(18, 19)
(27, 15)
(7, 22)
(25, 16)
(29, 11)
(5, 18)
(8, 29)
(12, 2)
(28, 19)
(26, 30)
(8, 2)
(9, 13)
(27, 4)
(25, 27)
(19, 7)
(7, 15)
(17, 28)
(13, 5)
(6, 13)
(16, 12)
(3, 20)
(24, 8)
(20, 23)
(13, 5)
(3, 14)
(14, 5)
(10, 16)
(12, 1)
(5, 23)
(23, 27)
(30, 19)
(23, 28)
(3, 26)
(2, 16)
(7, 13)
(29, 2)
(17, 10)
(2, 30)
(15, 16)
(18, 8)
(10, 5)
(21, 19)
(10, 28)
(23, 17)
(17, 29)
(26, 6)
(22, 14)
(19, 1)
(3, 21)
(27, 3)
(11, 27)
