(18, 26)
(5, 6)
(27, 10)
(2, 22)
(6, 28)
(26, 7)
(19, 27)
(11, 16)
(26, 6)
(27, 3)
(10, 30)
(29, 20)
(12, 7)
(19, 6)
(16, 23)
(12, 21)
(17, 28)
(5, 8)
(8, 6)
(25, 23)
(2, 11)
(5, 29)
(5, 18)
(10, 21)
(22, 28)
(24, 8)
(19, 16)
(16, 20)
(20, 17)
(3, 5)
(29, 20)
(12, 29)
(24, 18)
(13, 18)
(25, 6)
(6, 27)
(30, 14)
(25, 20)
(2, 10)
(21, 8)
(29, 4)
(11, 30)
(14, 2)
(6, 27)
(19, 5)
(29, 11)
(12, 27)
(1, 7)
(5, 26)
(24, 21)
(4, 3)
(23, 21)
(9, 2)
(24, 9)
(9, 30)
(15, 10)
(15, 2)
(10, 30)
(29, 27)
(25, 9)
(10, 1)
(13, 17)
(28, 2)
(23, 4)
(17, 13)
(23, 7)
(9, 15)
(5, 20)
(4, 8)
(8, 9)
(7, 28)
(3, 1)
(16, 2)
(25, 2)
(12, 9)
(4, 8)
(24, 26)
(16, 2)
(26, 17)
(11, 27)
(8, 18)
(6, 27)
(3, 17)
(17, 11)
(2, 25)
