(25, 17)
(18, 28)
(21, 22)
(10, 23)
(18, 19)
(23, 12)
(21, 14)
(30, 1)
(23, 26)
(29, 24)
(30, 15)
(22, 8)
(8, 19)
(11, 6)
(25, 24)
(29, 21)
(7, 30)
(30, 21)
(21, 4)
(7, 3)
(20, 25)
(16, 12)
(2, 27)
(13, 9)
(28, 29)
(22, 30)
(26, 30)
(21, 30)
(10, 15)
(4, 14)
(15, 29)
(14, 21)
(21, 3)
(27, 1)
(9, 7)
(13, 5)
(17, 4)
(8, 7)
(23, 5)
(27, 25)
(30, 24)
(26, 21)
(17, 7)
(30, 14)
(17, 21)
(6, 15)
(16, 5)
(10, 17)
(8, 19)
(14, 20)
(21, 22)
(5, 4)
(15, 10)
(3, 22)
(4, 5)
(27, 19)
(20, 12)
(22, 11)
(6, 10)
(27, 16)
(25, 20)
(15, 4)
(8, 7)
(10, 14)
(10, 16)
(22, 30)
(15, 13)
(30, 19)
(30, 4)
(18, 2)
(26, 22)
(13, 4)
(26, 14)
(21, 8)
(28, 30)
(22, 11)
(11, 14)
(17, 15)
