(25, 23)
(14, 12)
(16, 6)
(12, 17)
(11, 15)
(12, 26)
(4, 9)
(30, 2)
(25, 4)
(2, 27)
(8, 13)
(10, 8)
(28, 11)
(11, 16)
(6, 17)
(5, 21)
(4, 15)
(25, 1)
(24, 26)
(3, 19)
(6, 16)
(22, 2)
(23, 30)
(6, 29)
(9, 16)
(18, 21)
(1, 10)
(12, 6)
(11, 5)
(6, 22)
(8, 20)
(10, 16)
(4, 9)
(13, 1)
(27, 23)
(27, 3)
(2, 22)
(12, 16)
(9, 15)
(30, 23)
(10, 12)
(4, 3)
(23, 16)
(8, 19)
(7, 4)
(23, 25)
(28, 22)
(27, 28)
(3, 19)
(26, 11)
(22, 19)
(9, 11)
(17, 28)
(11, 24)
(29, 28)
(27, 30)
(4, 11)
(13, 16)
(4, 12)
(14, 4)
(30, 4)
(8, 26)
(20, 5)
(18, 30)
(27, 3)
(26, 30)
(30, 27)
(30, 24)
(15, 26)
(13, 15)
(26, 5)
(6, 10)
(20, 25)
(24, 30)
(10, 8)
(17, 29)
