(24, 13)
(8, 14)
(28, 30)
(10, 3)
(23, 11)
(21, 8)
(14, 22)
(13, 11)
(17, 18)
(15, 14)
(1, 21)
(20, 19)
(24, 11)
(18, 14)
(15, 14)
(26, 12)
(15, 26)
(29, 25)
(13, 11)
(8, 17)
(23, 1)
(22, 8)
(9, 28)
(20, 18)
(1, 6)
(9, 22)
(30, 17)
(25, 11)
(23, 10)
(25, 13)
(28, 20)
(23, 2)
(11, 19)
(29, 22)
(12, 15)
(30, 13)
(3, 10)
(20, 2)
(26, 27)
(7, 23)
(25, 9)
(11, 16)
(17, 8)
(3, 21)
(21, 20)
(5, 15)
(4, 14)
(9, 16)
(4, 17)
(10, 28)
(2, 27)
(28, 2)
(6, 25)
(5, 27)
(3, 26)
(17, 10)
(4, 8)
(15, 21)
(8, 25)
(7, 14)
(6, 22)
(26, 14)
(5, 18)
(10, 28)
(5, 12)
(23, 26)
(22, 1)
(11, 14)
(3, 14)
(14, 26)
(5, 20)
(2, 28)
(8, 30)
(8, 24)
(7, 9)
(22, 9)
(27, 15)
(15, 13)
(2, 25)
