(24, 1)
(30, 10)
(2, 3)
(20, 9)
(22, 10)
(16, 28)
(10, 11)
(29, 24)
(28, 23)
(25, 24)
(2, 5)
(10, 14)
(13, 22)
(4, 14)
(29, 23)
(7, 28)
(12, 11)
(9, 8)
(24, 27)
(12, 17)
(1, 29)
(5, 18)
(4, 23)
(13, 3)
(17, 3)
(20, 22)
(6, 10)
(6, 10)
(10, 17)
(6, 1)
(14, 27)
(1, 18)
(24, 16)
(10, 25)
(7, 9)
(7, 21)
(14, 20)
(29, 3)
(3, 16)
(20, 4)
(20, 1)
(30, 14)
(21, 28)
(21, 23)
(4, 11)
(22, 19)
(11, 5)
(21, 15)
(5, 30)
(12, 8)
(9, 19)
(28, 14)
(3, 28)
(22, 23)
(5, 2)
(7, 24)
(25, 24)
(25, 17)
(3, 14)
(20, 21)
(27, 1)
(13, 18)
(1, 27)
(15, 11)
(24, 10)
(6, 28)
(1, 28)
(17, 15)
(29, 23)
(4, 19)
(29, 21)
(11, 21)
(28, 23)
(25, 14)
(2, 7)
(9, 18)
(9, 13)
(12, 8)
(10, 21)
