(18, 28)
(29, 23)
(29, 30)
(1, 12)
(10, 17)
(2, 7)
(27, 12)
(20, 11)
(30, 13)
(24, 3)
(13, 3)
(3, 1)
(18, 13)
(1, 30)
(14, 9)
(17, 18)
(7, 15)
(9, 20)
(17, 13)
(21, 12)
(22, 20)
(14, 22)
(7, 9)
(11, 7)
(18, 12)
(3, 14)
(14, 12)
(23, 28)
(22, 3)
(27, 9)
(19, 5)
(12, 1)
(18, 10)
(11, 2)
(7, 21)
(12, 4)
(27, 19)
(28, 21)
(27, 1)
(5, 21)
(6, 23)
(18, 8)
(4, 15)
(19, 15)
(22, 18)
(28, 14)
(9, 14)
(21, 16)
(27, 18)
(17, 9)
(21, 26)
(4, 1)
(21, 22)
(13, 6)
(15, 7)
(15, 2)
(22, 3)
(15, 1)
(26, 10)
(23, 13)
(17, 29)
(1, 30)
(20, 17)
(19, 25)
(4, 10)
(15, 30)
(26, 1)
(19, 9)
(10, 16)
(23, 15)
(7, 29)
(13, 25)
(25, 30)
(1, 14)
(23, 18)
(13, 9)
(12, 30)
(14, 24)
(2, 7)
(29, 22)
(6, 16)
(26, 13)
(8, 2)
(5, 8)
(12, 4)
(6, 28)
(27, 14)
(28, 16)
(4, 25)
(8, 19)
(26, 8)
(19, 28)
(29, 18)
(7, 14)
